Nome do relatório: Relatório de indicadores sportify
Detalhes do relatório: Por dia
Relatório de entidade primária: Anúncio
Relatório de intervalo de datas: 2026-04-01 - 2026-04-09 (UTC)
Relatório de dados em: 2026-04-10 18:44:57 (UTC)

ID da campanha,Nome da campanha,ID do anúncio,Nome do anúncio,Formato publicitário,Data,Gasto,Impressões com streams,Frequência,Alcance,Cliques,CTR,Custo por clique,CPM
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,d9edaf8b-fe5a-48a5-8c82-5ee2073cb2a5,Vídeo - Geral,Vídeo,2026/04/03,16.18,1876.00,1.00,1876.00,3.00,.16,-,8.62
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,d9edaf8b-fe5a-48a5-8c82-5ee2073cb2a5,Vídeo - Geral,Vídeo,2026/04/04,28.88,3341.00,1.01,3312.00,3.00,.09,-,8.64
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,d9edaf8b-fe5a-48a5-8c82-5ee2073cb2a5,Vídeo - Geral,Vídeo,2026/04/05,12.37,1438.00,1.00,1436.00,0,.00,-,8.60
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,d9edaf8b-fe5a-48a5-8c82-5ee2073cb2a5,Vídeo - Geral,Vídeo,2026/04/06,12.86,1458.00,1.00,1452.00,2.00,.14,-,8.82
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,d9edaf8b-fe5a-48a5-8c82-5ee2073cb2a5,Vídeo - Geral,Vídeo,2026/04/07,23.42,2721.00,1.00,2713.00,1.00,.04,-,8.61
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,d9edaf8b-fe5a-48a5-8c82-5ee2073cb2a5,Vídeo - Geral,Vídeo,2026/04/08,11.54,1317.00,1.02,1291.00,1.00,.08,-,8.76
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,d9edaf8b-fe5a-48a5-8c82-5ee2073cb2a5,Vídeo - Geral,Vídeo,2026/04/09,11.98,1358.00,1.00,1358.00,2.00,.15,-,8.82
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,d9edaf8b-fe5a-48a5-8c82-5ee2073cb2a5,Vídeo - Geral,Vídeo,2026/04/10,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/01,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/02,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/03,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/04,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/05,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/06,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/07,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/08,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/09,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,fe3c0c63-3ec1-42ab-84a1-faddde93be19," Vídeo - soluções jurídicas",Vídeo,2026/04/10,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/01,18.21,2085.00,1.01,2060.00,4.00,.19,-,8.73
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/02,9.47,1138.00,1.00,1138.00,1.00,.09,-,8.32
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/03,15.45,1782.00,1.00,1782.00,0,.00,-,8.67
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/04,28.25,3283.00,1.00,3283.00,2.00,.06,-,8.60
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/05,12.09,1409.00,1.01,1395.00,1.00,.07,-,8.58
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/06,13.32,1499.00,1.00,1499.00,0,.00,-,8.88
